scenario,veg_cover,net_rad,sens_heat,lat_heat,grd_heat,max_pbl
1,100,737.5,131.1,538.4,67.9,1500
1,80,734.3,129.2,524.2,80.8,1500
1,60,728.6,127.9,511.2,89.3,1500
1,40,720.9,127.4,498.1,95.3,1450
1,20,711.8,127.4,484.3,100,1450
1,0,701.5,128.5,470,102.9,1500
2,100,737.3,132,540.4,64.8,1550
2,80,727.8,128.8,521.5,77.4,1500
2,60,702.4,124.1,494.3,83.9,1450
2,40,662,117.3,457.7,86.9,1350
2,20,607.3,108.3,413.6,85.3,1200
2,0,539.2,96.7,366.1,76.4,1000
3,100,576.6,96.8,415.9,63.8,1050
3,80,578.9,96.5,408.2,74.1,1050
3,60,592.5,99.1,410.7,82.6,1050
3,40,617.6,104.8,422.6,90,1150
3,20,653.8,114.4,442.4,96.9,1300
3,0,701.5,128.5,470,102.9,1500
